"","log_odds","conf25","conf75","p_z","name","adjusted_p"
"1","1.29122807017352","-0.473786468821321","0.963091064456473","0.483427916825459","PER2AA",0.988874515358629
"2","1.1621052631565","-0.399613648419757","0.69974191067952","0.591335213101736","PER2GG",0.988874515358629
"3","9.74086792100198e-07",NA,"166.058341817773","0.987489367187586","PER3AGG",0.991525210209263
"4","0.687763713080172","-1.14769118458747","0.331887249112908","0.31713322704927","PER3ACG",0.84697776492427
"5","0.406926406926081","-2.82074027207227","0.524980828600955","0.26833387040816","PER2PER3CAAGG",0.84697776492427
"6","1.34285714285608","-0.889800713697754","1.41537033535887","0.610815906761279","PER2PER3CAATT",0.988874515358629
"7","1.98941798941641","-0.411206945943902","1.77979298286251","0.212958182625626","PER2PER3CAAGT",0.790471898220544
"8","0.824561403510361","-1.25228723772031","0.787098690604019","0.707537385197116","PER2PER3CGGGG",0.991525210209263
"9","1.31652661064322","-0.482031194821676","1.03350529036178","0.475178105021481","PER2PER3CGGTT",0.988874515358629
"10","0.915584415585203","-1.05181445321689","0.825764643500064","0.852651515197725","PER2PER3CGGGT",0.991525210209263
"11","0.994708994709033","-1.02262842058004","0.954940246292564","0.991525210209263","PER2PER3CAGGG",0.991525210209263
"12","0.746031746033365","-1.24196524744431","0.600363590326356","0.529420625672373","PER2PER3CAGGT",0.988874515358629
"13","1.63690476190251","-0.442977696858215","1.41330260620899","0.294536347658489","PER2CLOCK3111AATT",0.84697776492427
"14","1.19047619047479","-2.92583677543969","2.57165553251515","0.889248797236531","PER2CLOCK3111AACC",0.991525210209263
"15","0.793650793652058","-1.59127129705606","0.948994221664559","0.715122034546195","PER2CLOCK3111AATC",0.991525210209263
"16","1.2820512820496","-0.488917479051523","0.988149107879321","0.50799302286892","PER2CLOCK3111GGTT",0.988874515358629
"17","4.76190476189722","-0.148432298082036","3.59137320267252","0.0843554989684818","PER2CLOCK3111GGCC",0.513162618724931
"18","0.770308123250407","-1.13610002234984","0.575499298238137","0.547196220074153","PER2CLOCK3111GGTC",0.988874515358629
"19","1.08225108225032","-1.17195587574178","1.21813343379506","0.894977279287704","PER2CLOCK3111AGCC",0.991525210209263
"20","0.921658986175939","-0.94042388473186","0.74826788065904","0.848843838968134","PER2CLOCK3111AGTC",0.991525210209263
